lat,lon,neighborhood,num_streets,num_pois_nearby,risk_score,poi_density,street_importance,degree_normalized,weight,category,color,weight_breakdown
43.65145,-79.38211,Yonge-Bay Corridor,2,50,1.0,1.0,0.1,0.25,67.0,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 20.0, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.649688,-79.377981,Downtown Yonge East,2,89,0.804,1.0,0.1,0.25,59.15,Medium,#ffff00,"{'crime_contribution': 32.15, 'poi_contribution': 20.0, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.652542,-79.386476,Yonge-Bay Corridor,2,18,1.0,0.36,0.1,0.25,54.2,Medium,#ffff00,"{'crime_contribution': 40.0, 'poi_contribution': 7.2, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.652606,-79.386169,Yonge-Bay Corridor,2,23,1.0,0.46,0.1,0.25,56.2,Medium,#ffff00,"{'crime_contribution': 40.0, 'poi_contribution': 9.2, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.652834,-79.385091,Yonge-Bay Corridor,4,26,1.0,0.52,0.175,0.5,63.9,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 10.4, 'street_contribution': 3.5, 'degree_contribution': 10.0}"
43.6457,-79.425838,Little Portugal,2,0,0.224,0.0,0.4,0.25,21.96,Low,#00ff00,"{'crime_contribution': 8.96, 'poi_contribution': 0.0, 'street_contribution': 8.0, 'degree_contribution': 5.0}"
43.64683,-79.40986,Trinity-Bellwoods,3,33,0.279,0.66,0.3,0.375,37.87,Medium,#ffff00,"{'crime_contribution': 11.17, 'poi_contribution': 13.2, 'street_contribution': 6.0, 'degree_contribution': 7.5}"
43.643401,-79.405261,West Queen West,4,38,0.168,0.76,0.55,0.5,42.92,Medium,#ffff00,"{'crime_contribution': 6.72, 'poi_contribution': 15.2, 'street_contribution': 11.0, 'degree_contribution': 10.0}"
43.645294,-79.378878,St Lawrence-East Bayfront-The Islands,2,24,0.309,0.48,0.7,0.25,40.98,Medium,#ffff00,"{'crime_contribution': 12.38, 'poi_contribution': 9.6, 'street_contribution': 14.0, 'degree_contribution': 5.0}"
43.64435,-79.378483,St Lawrence-East Bayfront-The Islands,2,11,0.309,0.22,0.7,0.25,35.78,Medium,#ffff00,"{'crime_contribution': 12.38, 'poi_contribution': 4.4, 'street_contribution': 14.0, 'degree_contribution': 5.0}"
43.646845,-79.376969,St Lawrence-East Bayfront-The Islands,3,23,0.309,0.46,0.7,0.375,43.08,Medium,#ffff00,"{'crime_contribution': 12.38, 'poi_contribution': 9.2, 'street_contribution': 14.0, 'degree_contribution': 7.5}"
43.6464,-79.377787,Yonge-Bay Corridor,2,28,1.0,0.56,0.7,0.25,70.2,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 11.2, 'street_contribution': 14.0, 'degree_contribution': 5.0}"
