source,target,weight,length_m,street_name,highway_type,start_node_weight,end_node_weight,category
287,302,54.67675970805044,247.47341337098885,Brunswick Avenue,residential,40.46,47.2,Medium
257,303,48.450723790009874,138.409863487074,Ulster Street,residential,44.66,40.46,Low
294,298,44.9774976861011,129.80401120575488,Ulster Street,residential,37.56,42.06,Low
304,298,46.83624022499269,135.14881786215906,Ulster Street,residential,40.46,42.06,Low
304,303,46.50657140855774,149.4456601225343,Ulster Street,residential,40.46,40.46,Low
305,306,38.648094643050655,198.0190527914029,Croft Street,service,33.46,31.06,Low
303,307,76.74907711575746,401.6816202311654,Lippincott Street,residential,40.46,69.05,Medium
308,309,66.10387645080218,56.141179913758954,Borden Street,residential,68.95,56.23,Medium
310,304,54.34572847199089,206.07475525945154,Borden Street,residential,49.66,40.46,Medium
303,7595,45.28631539143117,205.70594758868913,Lippincott Street,residential,40.46,34.66,Low
311,312,61.852346973410974,74.57169863465903,Sussex Mews,service,61.56,53.56,Medium
295,313,51.1041741310389,185.43665346877532,Willcocks Street,residential,37.56,48.66,Medium
314,315,53.201294611652386,157.0529493617308,Lippincott Street,residential,47.2,44.76,Medium
316,315,48.04639293315609,150.53622924224356,Lennox Street,residential,38.76,44.76,Low
317,315,54.32852977174558,138.72416205712824,Lennox Street,residential,50.66,44.76,Medium
318,316,52.45482141938137,104.42828549071217,Borden Street,residential,56.23,38.76,Medium
310,316,56.454841457260216,276.9699492707583,Borden Street,residential,49.66,38.76,Medium
319,318,58.59315716024869,52.98152862339286,Borden Street,residential,55.06,56.23,Medium
289,296,51.22997283075306,186.9780544660118,Robert Street,residential,42.46,43.86,Medium
322,323,86.8030596642129,151.2342130532214,Dundas Street East,secondary,77.15,73.65,Medium
325,326,91.57852282756139,158.48858731892952,York Street,tertiary,77.7,80.4,Medium
327,328,35.58546670896991,53.44780073919209,Unnamed,motorway_link,40.08,27.48,Low
329,330,76.46431820088166,106.01458307487786,Dundas Street West,secondary,72.05,66.22,Medium
332,307,66.21089988163396,151.49391098493848,Lippincott Street,residential,45.95,69.05,Medium
333,334,68.13440245828065,191.16088213777337,Augusta Avenue,residential,50.85,63.55,Medium
336,8787,56.34801380332059,128.08836443084263,Wales Avenue,residential,49.95,49.95,Medium
334,9813,63.26303884221312,150.23706985842026,Denison Square,residential,63.55,46.45,Medium
338,339,63.17446168699565,225.49877181368865,Leonard Avenue,residential,53.15,49.95,Medium
340,339,63.37074607402386,209.36538309205824,Nassau Street,residential,54.85,49.95,Medium
342,343,80.22098039927653,266.313818457404,Kensington Avenue,residential,63.55,63.15,Medium
345,7336,68.23687890550038,270.70537999069603,Baldwin Street,residential,54.65,52.75,Medium
3472,347,64.83934491672751,210.81876595196118,Ross Street,residential,43.15,63.95,Medium
348,349,61.258923632529225,81.26244166497605,Beverley Street,tertiary,57.46,55.85,Medium
350,351,65.34266976368596,270.3931129325549,D'Arcy Street,residential,55.42,47.45,Medium
352,353,69.10223316926712,277.3056038681541,St. Patrick Street,residential,47.15,61.05,Medium
354,355,69.62793524571104,279.1023283863513,Elm Street,tertiary,51.85,57.02,Medium
9902,356,67.07013699433121,91.90292217063418,Simcoe Street,tertiary,47.85,75.0,Medium
357,358,56.2263938721081,222.3129102632195,Phoebe Street,residential,46.85,45.15,Medium
359,360,55.25779624449353,181.98494640627868,Grange Avenue,residential,47.05,46.45,Medium
361,362,51.52779296227027,180.88215795279638,Sullivan Street,residential,41.05,46.22,Medium
364,365,79.18495062048972,136.08250531549078,Chestnut Street,residential,73.0,66.4,Medium
366,365,75.23891647458723,123.80756496769564,Armoury Street,residential,67.5,66.4,Medium
367,368,83.45153170796215,135.7813093972393,Queen Street East,construction,81.0,65.95,Medium
369,290,65.78724292591147,202.47199645241224,Spadina Avenue,secondary,59.56,49.86,Medium
372,373,79.1459966365919,105.00518864351706,Melinda Street,unclassified,71.25,72.0,Medium
374,375,52.6856512750117,183.01675704528358,Adelaide Street West,secondary,45.75,43.32,Medium
376,377,78.60596171483088,153.425703812632,Adelaide Street East,secondary,71.15,65.15,Medium
378,379,80.128386688301,149.61817343329997,Sheppard Street,residential,72.7,66.7,Medium
380,381,49.87343074652308,136.58684472477398,Scott Street,residential,38.08,49.68,Low
384,385,84.73032331714805,207.84495106412018,Carlton Street,secondary,71.15,69.15,Medium
386,387,77.90045948959846,200.3152463728574,Mutual Street,residential,70.55,59.25,Medium
388,386,72.56363210330042,97.78565965658746,Mutual Street,residential,61.65,70.55,Medium
366,389,84.34674141055119,200.6653581573123,Centre Avenue,residential,67.5,73.0,Medium
390,391,79.66863271649919,159.40671929708486,Hagerman Street,unclassified,61.8,75.63,Medium
392,393,53.65106454415809,183.43585627347716,Nelson Street,residential,50.52,40.15,Medium
394,395,88.71677002390275,164.79708558921752,Albert Street,unclassified,73.5,78.83,Medium
2870,396,33.18997967113911,155.03670336311538,Windsor Street,residential,27.85,29.62,Low
397,394,83.77157756507664,139.74935462689305,James Street,construction,73.5,73.5,Medium
398,399,50.21132066114692,132.1605560574277,Peter Street,tertiary,43.75,44.95,Medium
401,402,49.95000414497599,214.29449726451918,Mercer Street,residential,40.15,42.12,Low
403,404,45.83189788283612,151.55522318683703,Widmer Street,residential,44.25,35.35,Low
406,407,35.993166823951036,57.068041819413715,Euclid Avenue,residential,36.57,31.53,Low
408,409,42.00563806107263,401.8233959977517,Palmerston Boulevard,residential,22.96,36.97,Low
407,232,40.7520847231096,546.8622024334638,Euclid Avenue,residential,31.53,21.16,Low
240,256,25.610073835513404,204.61306846253063,Markham Street,residential,18.76,23.76,Low
410,411,63.18518466050689,186.79911082845393,King's College Road,service,43.46,63.02,Medium
358,412,55.645966724847284,152.09040838193138,Soho Street,residential,45.15,51.45,Medium
3283,415,57.55237044274532,116.43783594074334,Stephanie Street,residential,44.35,58.75,Medium
416,417,61.37496610604973,222.60888657469576,Carr Street,residential,50.35,50.05,Medium
418,417,62.61394587296168,214.6255261486262,Ryerson Avenue,residential,53.05,50.05,Medium
419,420,63.147495312839936,165.0829393512903,Vanauley Street,residential,63.25,45.15,Medium
374,421,47.338997225165855,147.6120539434148,Brant Street,residential,45.75,36.75,Low
423,424,39.84652356606511,166.12594574378426,Palmerston Avenue,residential,24.17,44.17,Low
425,426,55.89893274751366,823.4850023654758,Markham Street,residential,35.97,25.34,Medium
427,428,59.87828750232944,515.5223361763968,Robinson Street,residential,50.35,28.67,Medium
179,10520,37.69548465869262,298.9484720431641,Claremont Street,residential,36.97,21.07,Low
431,432,35.835085025144124,43.0820848535621,Crawford Street,residential,40.57,28.14,Low
434,435,33.617495717678075,131.1405019407159,Argyle Street,residential,31.27,28.17,Low
436,437,29.445187255668134,177.33655560448358,Collahie Street,residential,21.96,28.06,Low
10857,437,29.64883677073811,263.8037839189303,Beaconsfield Avenue,residential,18.86,28.06,Low
438,439,33.56004953892839,31.18910858590834,Rusholme Road,residential,35.56,29.53,Low
441,7603,32.85381957951888,206.9735334136253,Harrison Street,residential,24.97,29.47,Low
444,445,41.531637292950016,43.24635249811635,Beaconsfield Avenue,residential,44.86,34.76,Low
443,446,50.59383266029535,476.76102335946723,Northcote Avenue,residential,24.86,43.66,Medium
10779,10778,25.545683697327433,312.72783645053613,Mackenzie Crescent,residential,19.66,19.26,Low
6545,450,34.69958764063958,116.81968589119984,Grove Avenue,residential,30.67,31.47,Low
451,452,57.88718417145783,69.21285872659465,Wellesley Street East,tertiary,51.14,57.14,Medium
454,455,39.98499935848397,288.59166479162,Amelia Street,residential,31.23,30.83,Low
457,458,45.81032754097148,528.0296044353397,Spruce Street,residential,31.63,28.33,Low
460,461,71.35577261195888,629.8714621278867,Carlton Street,residential,52.33,35.23,Medium
462,463,27.606188505769737,77.10450666288487,Riverdale Park Road,service,26.63,24.63,Low
1559,465,31.59674246586863,150.43664539845744,Nasmith Avenue,residential,23.53,31.4,Low
467,468,47.34179369027843,339.98849958331243,Winchester Street,residential,39.83,30.83,Low
469,9137,27.038326230039072,184.33316820144856,Salisbury Avenue,residential,25.83,19.83,Low
472,473,81.1817739427731,269.4569811223318,Gerrard Street East,tertiary,63.55,64.35,Medium
8378,474,22.372158805482645,192.545778543851,Hogarth Avenue,residential,15.56,21.96,Low
475,476,22.81389686138032,193.81982529462698,Bowden Street,residential,20.36,17.86,Low
479,480,23.792854992691314,183.13550436058253,Howland Road,residential,19.86,20.36,Low
